id,price,bedrooms,sqft_lot,waterfront,view,condition,sqft_above,"sqft_basement,,",bathrooms,floors,sqft_living
43,319000,2,6174,0,0,4,850,,1,1,850
44,439000,3,2875,0,0,3,1770,,"2,5",2,1770
45,321000,2,9400,0,0,2,1210,,1,1,1210
46,321000,3,9180,0,0,3,1160,,1,1,1160
47,515000,3,35100,0,0,4,1970,,"2,3",2,1970
48,455000,3,10460,0,0,3,1930,,"2,5",2,1930
49,411000,3,1180,0,0,3,1270,,"2,5",3,1270
50,712000,4,42998,0,0,3,3310,,"2,5",2,3310
51,564000,4,37277,0,0,3,2710,,"2,8",2,2710
52,665000,3,35200,0,0,3,2910,0,"1,8","1,5",2910
53,732000,3,4500,0,0,4,1880,,2,"1,5",2710
54,409000,3,23103,0,0,3,1800,,"1,8",1,1800
55,493000,5,9655,0,0,3,1460,,"2,5",1,2210
56,418000,4,10000,0,0,4,1070,,"1,5",1,1920
57,438000,4,125452,0,2,3,2190,,"1,8",1,2190
58,1027000,5,11995,0,2,3,3660,,"3,3",2,3660
59,425000,3,1327,0,0,3,1040,,"3,3",2,1320
60,428000,2,1368,0,0,3,1280,,"2,5",2,1630
61,811000,4,6500,0,0,3,3310,,"2,5",2,3310
62,635000,3,5539,0,0,3,2680,,"2,5",2,2680
63,557000,4,54014,0,0,3,1560,,"3,3",1,2730
64,603000,3,5050,0,0,3,2540,,"2,5",2,2540
65,668000,4,6605,0,0,3,2920,,"2,8",2,2920
66,317000,2,5000,0,0,3,900,,1,1,900
67,452000,3,14054,0,0,4,1130,,"2,5",1,1650
68,296000,3,9945,0,0,4,1010,,1,1,1010
69,740000,2,7392,0,0,3,2680,,"2,5",1,2680
70,660000,3,7350,0,0,5,1570,,"2,5",1,2200
71,734000,4,9933,0,2,3,2010,,"2,5",2,2530
72,690000,3,7130,0,0,3,1990,,"2,5",2,2850
73,513000,4,6010,0,0,3,1140,,2,1,2280
74,451000,3,8744,0,0,3,1900,,"2,5",2,1900
75,286000,3,77972,0,0,3,1330,,1,1,1330
76,394000,2,1175,0,0,3,1110,,3,2,1270
77,635000,4,4000,0,0,4,1610,,3,2,2170
78,802000,4,10281,0,2,3,2730,,"2,5",2,2730
79,581000,4,10202,0,0,4,1620,,"2,5",1,2120
80,594000,3,4343,0,0,3,2490,,"2,5",2,2490
81,462000,4,7712,0,0,3,1210,,"2,3",1,1990
82,955000,4,9892,0,0,3,3690,,3,2,3690
83,596000,2,7000,0,0,5,1320,,1,1,2540
84,408000,3,36704,0,0,4,1360,,"2,3",1,1800
85,584000,4,7048,0,0,4,1340,,3,1,2340
86,534000,2,9519,0,0,2,2110,,"1,8",1,2110
87,384000,2,5400,0,0,5,1140,,1,1,1140
88,412000,3,2185,0,0,3,1480,0,"1,8","2,5",1480
89,416000,2,1240,0,0,3,1140,,3,2,1410
90,370000,2,8063,0,0,4,1200,,1,1,1200
91,950000,5,13806,0,0,4,3180,,"2,5",2,3180
92,740000,3,9000,0,2,4,1400,,"1,5",1,2160
93,983000,6,5000,0,0,4,2780,140,"1,8","2,5",2920
94,660000,3,5700,0,0,4,1810,,2,"1,5",2350
95,408000,3,5520,0,0,4,780,,"1,8",1,1560
96,580000,5,8426,0,0,4,1370,,"2,8",1,2740
97,478000,3,2000,0,0,3,1680,,"2,5",3,1680
98,619000,5,12750,0,0,3,1750,,"2,5",1,3090
99,426000,3,1332,0,0,3,1410,,"2,3",3,1410
100,1514000,5,8510,0,1,5,2850,,"3,5",2,4010
101,950000,4,21904,0,3,3,3180,,"2,5",2,3180
102,504000,3,6000,0,0,3,1330,,"2,3",1,2010
103,364000,3,7500,0,0,3,1330,,"1,8",1,1330
104,530000,4,6500,0,0,3,2370,,"2,5",2,2370
105,437000,5,9240,0,0,4,1540,,2,1,1840
106,672000,4,6479,0,0,3,2910,,"2,5",2,2910
107,444000,4,7519,0,0,3,1160,,1,1,2070
108,881000,4,141570,0,0,3,4340,0,"2,5","2,5",4340
109,306000,2,5510,0,0,3,840,,1,1,840
110,358000,4,9600,0,0,3,1240,,"1,5",1,1240
111,360000,4,4240,0,0,3,1050,,1,1,1390
112,519000,4,5000,0,0,3,2310,,"2,8",2,2310
113,315000,3,10072,0,0,3,1050,,2,1,1050
114,452000,5,71874,0,0,5,1810,,"1,8",1,2550
115,471000,4,3600,0,0,3,2010,0,"1,8","1,5",2010
116,317000,5,9022,0,0,4,1120,,1,"1,5",1120
117,538000,3,4000,0,0,3,2230,,"2,5",2,2230
118,310000,2,7158,0,0,5,810,,1,1,810
119,846000,5,16920,0,3,3,1690,,"2,8",1,3190
120,337000,3,39639,0,0,4,1670,,"1,8",1,1670
121,483000,4,9389,0,0,5,1140,,"1,8",1,1970
122,375000,3,6000,0,0,4,1450,,1,1,1450
123,2749000,7,307752,0,4,3,9410,,8,3,13540
124,447000,3,7838,0,0,3,1880,,"2,5",2,1880
125,448000,3,6360,0,0,4,1040,,"1,8",1,1880
126,439000,3,6030,0,0,4,1410,,2,"1,5",1410
127,490000,4,3844,0,0,5,1480,,2,"1,5",1480
128,371000,2,5250,0,0,4,1140,,1,"1,5",1140
129,435000,3,9306,0,0,3,1000,,"1,8",1,1920
130,672000,4,6338,0,0,3,2910,,"2,5",2,2910
131,768000,3,7857,0,0,3,3240,,"2,5",2,3240
132,411000,3,15040,0,0,4,1550,,2,1,1550
133,455000,5,10200,0,0,3,1430,,2,1,2050
134,585000,2,4000,0,0,3,2220,,"2,5",2,2220
135,433000,2,8640,0,0,3,1520,,1,"1,5",1770
136,586000,4,11700,0,0,4,1960,,"1,8",1,2300
137,466000,3,5000,0,0,4,1080,,2,1,1800
138,455000,4,9211,0,0,3,1470,,"1,8",1,2010
139,442000,3,2700,0,0,3,1790,,"2,5",2,1790
140,543000,4,6651,0,0,3,2440,,"2,5",2,2440
141,468000,3,3211,0,0,3,1940,,"2,5",2,1940
142,357000,2,1438,0,0,3,1160,,"1,5",2,1160
143,836000,4,9692,0,0,3,3400,,"2,5",2,3400
144,1258000,4,5750,0,0,3,3410,,"4,3",2,4420
145,473000,3,2017,0,0,3,1571,,3,3,1571
146,450000,3,998,0,0,3,1540,80,"2,3","2,5",1620
147,432000,3,989,0,0,3,1408,,"2,5",3,1408
148,720000,3,4535,0,0,3,3040,,"2,5",2,3040
149,1205000,5,6000,0,0,3,3200,,"3,5",2,4490
150,436000,2,1426,0,0,3,1590,,"2,5",2,1590
151,547000,4,4247,0,0,3,2450,,"2,5",2,2450
152,399000,4,7680,0,0,3,1200,,2,1,1440
153,315000,2,3000,0,0,3,1100,,2,"1,5",1100
154,362000,3,7740,0,0,4,860,,1,1,1350
155,443000,4,37981,0,0,3,2150,,"2,5",2,2150
156,410000,3,8366,0,0,4,1010,,"1,8",1,1490
157,467000,3,7000,0,0,3,2000,,2,2,2000
158,347000,2,4400,0,0,3,1030,,1,1,1030
159,286000,2,6687,0,0,3,720,,1,1,720
160,549000,5,5000,0,0,4,2020,,2,"1,5",2020
161,571000,3,8151,0,1,4,1100,,"1,8",1,1580
162,476000,4,13850,0,0,3,2110,,"2,5",2,2110
163,387000,4,7054,0,0,3,1300,,2,1,1300
164,473000,3,7475,0,1,3,1160,,"1,5",1,1630
165,984000,4,8103,0,3,3,1970,,"2,8",1,3370
166,473000,4,6156,0,0,3,980,,"2,5",1,1890
167,402000,4,7983,0,0,5,1520,,2,1,1520
168,316000,2,5160,0,0,3,900,,1,1,900
169,320000,3,6874,0,0,3,1050,,1,1,1050
170,379000,3,6500,0,0,4,1260,,"1,8",1,1260
171,700000,6,117612,0,0,3,3470,,3,"1,5",3470
172,605000,4,12047,0,0,4,2290,,"2,5",2,2290
173,644000,4,23400,0,1,3,1710,,"2,3",1,2810
174,392000,3,13816,0,0,3,1650,,"2,5",2,1650
175,434000,3,14374,0,0,4,1140,,"2,3",1,1640
176,436000,3,10109,0,0,3,1850,,"2,5",2,1850
177,466000,4,5390,0,0,3,2000,,"2,5",2,2000
178,346000,3,9647,0,0,3,1410,,"1,5",1,1410
179,368000,4,11600,0,0,4,1000,,"1,8",1,1500
180,633000,3,54885,0,0,4,2460,,"2,5",2,2460
181,320000,3,7034,0,0,3,1010,,1,1,1010
182,356000,2,929,0,0,3,1020,,"2,3",2,1230
183,526000,4,3826,0,0,3,2331,,"2,5",2,2331
184,500000,5,7770,0,0,3,1340,,"2,5",1,2240
185,684000,4,10117,0,0,5,1580,,3,1,2450
186,735000,4,15480,0,0,3,2400,,3,2,3100
187,483000,4,5000,0,0,3,1030,,2,1,2060
188,453000,3,7684,0,0,3,1320,,"1,8",1,1850
189,425000,4,10720,0,0,3,960,,"1,8",1,1840
190,897000,4,32417,0,0,3,3740,,2,2,3740
191,347000,3,8580,0,0,3,1420,,"1,5",1,1420
192,389000,3,6083,0,0,4,860,,1,1,1510
193,584000,3,6500,0,2,3,1170,,"1,8",1,2130
194,955000,4,6906,0,0,4,2280,,"2,3",2,3490
195,430000,3,11800,0,0,4,1630,,"1,8",1,1630
196,433000,3,7167,0,0,3,1790,,"2,5",2,1790
197,465000,4,5684,0,0,3,2000,,"2,5",2,2000
198,519000,4,29930,0,0,4,1400,,"2,3",2,2260
199,709000,4,7864,0,0,3,3030,,"2,5",2,3030
200,344000,3,8160,0,0,3,1310,,"1,5",1,1310
201,997000,4,14550,0,0,3,3880,,"2,5",2,3880
202,1145000,4,10920,0,0,5,2400,1360,"3,3","1,5",3760
203,727000,5,8111,0,0,3,3040,,"2,3",2,3040
204,658000,5,9636,0,0,4,1690,,"2,5",1,2910
205,643000,3,11985,0,0,3,1770,,"2,5",1,2970
206,399000,2,6000,0,0,3,1160,,"1,8",1,1660
207,756000,4,12369,0,0,3,3200,,"2,5",2,3200
208,814000,4,18768,0,0,5,2680,,2,1,2680
209,372000,3,9568,0,0,5,1230,,1,1,1230
210,553000,4,45732,0,0,3,2740,,"2,5",2,2740
211,865000,4,8330,0,0,3,3380,,"3,5",2,3380
212,323000,3,6250,0,0,3,1110,,1,1,1110
213,482000,5,3780,0,0,3,1400,400,"2,8","1,5",1800
214,461000,3,5520,0,0,3,1280,,"1,8",1,1900
215,285000,2,36478,0,2,3,930,,1,1,930
216,432000,3,7735,0,0,4,1060,,"1,8",1,1690
217,342000,3,4080,0,0,3,1420,,2,"1,5",1420
218,1320000,5,15175,0,0,3,4510,,4,2,4510
219,564000,3,8000,0,0,4,1560,,"2,3",1,1980
220,393000,2,2400,0,0,4,740,,"1,8",1,1170
221,568000,3,1970,0,0,3,1610,,"2,5",2,2200
222,289000,3,8850,0,0,4,800,,"1,5",1,800
223,444000,3,1171,0,0,3,1480,,"2,5",3,1480
224,633000,5,5000,0,0,3,1310,,"3,8",1,2890
225,608000,3,4047,0,0,3,2690,,"2,5",3,2690
226,927000,4,8327,0,0,3,3569,,"3,3",2,3569
227,394000,3,1320,0,0,3,1270,,2,3,1270
228,1380000,5,10279,0,0,3,3930,,5,2,4490
229,716000,4,6425,0,0,3,3040,,"2,5",2,3040
230,385000,3,1249,0,0,3,1170,,"2,3",3,1170
231,469000,5,8632,0,0,3,1030,,"2,3",1,2060
232,322000,3,6000,0,0,3,990,,1,1,990
233,542000,4,5203,0,0,3,2430,,"2,5",2,2430
234,1081000,4,103382,0,0,3,4460,,4,2,4460
235,347000,3,10122,0,0,3,1250,,"1,8",1,1250
236,476000,3,6760,0,0,5,1210,,"2,8",1,1540
237,471000,3,7000,0,0,4,1600,,"2,5",2,1600
238,319000,3,8423,0,0,3,1110,,1,1,1110
239,445000,3,10723,0,0,4,1220,,"1,8",1,1840
240,638000,3,5401,0,0,4,1360,,"2,8",1,2520
241,606000,3,327135,0,0,3,2680,,"2,5",2,2680
242,960000,9,6988,0,0,3,2450,1380,"4,5","2,5",3830
243,660000,4,9549,0,0,4,1780,,"2,8",1,2410
244,456000,4,10018,0,0,5,1720,,"1,8",1,1720
245,414000,3,37904,0,0,4,1420,,"1,8",1,2070
246,473000,3,9055,0,0,4,1760,,2,2,1760
247,446000,3,10500,0,0,4,1680,,"1,8",1,1680
248,532000,2,2400,0,0,4,1550,,2,"1,5",1550
249,1003000,3,60392,0,2,3,3180,,3,2,4120
250,436000,4,9548,0,0,3,1830,,3,2,1830
251,357000,3,7410,0,0,3,1400,,1,1,1400
252,474000,3,12381,0,0,4,1870,,"1,8",1,1870
253,2572000,7,8856,0,2,5,4760,1450,"4,5","2,5",6210
254,385000,2,3500,0,0,4,1040,0,"1,5","1,5",1040
255,625000,3,149410,0,0,3,2720,0,"1,8","1,5",2720
256,315000,3,9360,0,0,3,1010,,1,1,1010
257,564000,3,9147,0,1,4,1210,,"1,8",1,1580
258,870000,4,6050,0,0,5,1960,,"2,8",2,2600
259,455000,3,9180,0,0,3,1920,,"2,5",2,1920
260,561000,3,5080,0,0,3,1780,,2,"1,5",2350
261,272000,1,4373,0,0,2,820,,1,1,1100
262,530000,4,13695,0,0,4,1280,,2,1,2510
263,775000,3,108366,0,0,4,3240,,"2,5",2,3240
264,475000,3,108900,0,0,4,1860,,"2,5",1,2460
265,351000,2,3885,0,0,4,1010,,1,"1,5",1010
266,310000,2,2723,0,0,3,820,,1,1,820
267,693000,5,8560,0,2,3,1620,,"2,5",1,2420
268,426000,3,8165,0,0,3,1770,,"2,3",2,1770
269,397000,2,3900,0,0,3,1350,,2,1,1350
270,467000,3,4788,0,0,4,1090,,"1,8",1,1960
271,947000,4,16164,0,0,5,2245,1060,"2,5","1,5",3305
272,580000,2,5663,0,0,3,1720,,"2,3",1,2550
273,739000,5,226076,0,0,3,3170,,"3,8",2,4130
274,506000,4,13300,0,0,3,1890,,"1,5",1,2310
275,424000,4,5000,0,0,3,1650,,2,1,1650
276,614000,4,4316,0,0,3,1520,1130,"2,5","1,5",2650
277,570000,4,5940,0,1,3,1470,,"2,3",1,1890
278,582000,3,8000,0,0,4,2190,,"1,8",1,2190
279,486000,3,6500,0,0,3,2030,,"2,5",2,2030
280,574000,3,5175,0,0,3,2130,,3,2,2270
281,444000,3,4160,0,0,4,1010,,2,1,1610
282,300000,2,3001,0,0,3,760,,1,1,760
283,322000,2,17335,0,0,3,840,,1,1,1640
284,458000,3,12295,0,0,4,1630,,"2,3",2,1630
285,1167000,6,6480,0,0,4,3560,0,"2,5","2,5",3560
286,909000,3,5500,0,2,3,2440,,3,2,2960
287,499000,3,37565,0,0,4,1940,,"2,5",1,1940
288,396000,3,7566,0,0,3,1410,,2,1,1410
289,283000,3,16986,0,0,4,1040,,1,1,1040
290,312000,2,6400,0,0,4,820,,1,1,820
291,278000,2,22000,0,0,3,910,,1,1,910
292,986000,7,7647,0,1,3,3700,,"5,8",2,3700
293,586000,4,11200,0,0,4,2180,,"2,5",1,2180
294,408000,3,4271,0,0,3,1600,,"2,5",2,1600
295,420000,3,6180,0,0,4,1060,,"1,8",1,1500
296,368000,3,4284,0,0,3,1080,,1,1,1340
297,459000,3,13374,0,0,3,1860,,2,1,1860
298,937000,3,7200,0,3,4,1600,,2,"1,5",2540
299,331000,2,13100,0,0,5,1040,,1,1,1040
300,345000,3,11130,0,0,3,1380,,"1,5",1,1380
301,401000,3,10762,0,0,3,1130,,"1,8",1,1640
302,674000,5,6000,0,0,5,1500,,"1,8",1,3000
303,516000,4,13000,0,0,3,1320,,"2,8",1,2140
304,443000,3,6428,0,0,4,980,,2,1,1760
305,478000,3,8307,0,0,4,1660,,"2,3",1,1660
306,426000,3,13042,0,0,3,1830,,"2,5",2,1830
307,626000,4,8556,0,1,4,1210,,2,1,2210
308,342000,4,6600,0,0,3,1490,,1,1,1490
309,380000,3,1270,0,0,3,1040,,"1,5",2,1260
310,1240000,5,8076,0,0,3,3400,,"4,5",2,4270
311,1070000,4,8391,0,0,3,3900,,"3,5",2,3900
312,427000,2,1027,0,0,3,1150,,"2,5",3,1150
313,574000,4,21195,0,0,3,2656,,"2,8",2,2656
314,537000,5,5003,0,0,3,1410,,"2,8",1,2410
315,469000,3,1452,0,0,3,1606,,"2,3",3,1606
316,378000,2,681,0,0,3,820,,1,3,820
317,416000,2,6872,0,0,4,820,,1,1,1540
318,503000,3,8354,0,0,3,2090,,"2,8",2,2090
319,704000,5,11470,0,0,4,1780,,"2,5",1,3160
320,410000,4,8320,0,0,3,1230,,"1,8",1,1730
321,396000,3,4080,0,0,3,1170,,1,1,1670
322,569000,4,4630,0,0,3,2550,,"2,5",2,2550
323,833000,5,9601,0,0,5,1970,,3,1,3040
324,386000,3,4620,0,0,4,1150,,1,"1,5",1250
325,468000,4,6236,0,0,3,2020,,"2,5",2,2020
326,793000,4,5500,0,2,3,2660,,"2,5",2,2660
327,314000,2,5000,0,0,3,980,,"1,5",2,980
328,547000,3,8000,0,0,4,1290,,"2,5",1,1960
329,290000,2,5040,0,0,3,720,,1,1,720
330,365000,2,1349,0,0,3,1050,,"2,5",2,1360
331,505000,2,4950,0,0,3,1870,,2,1,1870
332,464000,4,8800,0,0,3,1100,,"1,5",1,2130
333,433000,4,6509,0,0,3,1810,,"2,5",2,1810
334,316000,2,89298,0,0,3,1100,,"1,8",1,2200
335,614000,3,4500,0,1,4,1690,0,"2,5","1,5",1690
336,502000,3,8547,0,0,3,1460,,"2,5",1,1940
337,521000,4,6270,0,0,3,2320,,"2,5",2,2320
338,409000,4,26036,0,0,4,1160,,"1,8",1,2060
339,949000,4,5000,0,0,5,2190,,1,2,3410
340,452000,4,41688,0,0,3,2250,,"2,3",2,2250
341,402000,3,7399,0,0,4,1390,,"1,8",1,1390
342,352000,2,4960,0,0,3,1060,,1,1,1060
343,368000,3,8995,0,0,4,1490,,1,1,1490
344,519000,4,9195,0,0,3,1390,,"1,8",1,2480
345,634000,5,20828,0,0,4,2440,0,"2,3","1,5",2440
346,340000,3,87625,0,0,2,1480,760,"1,5","1,5",2240
347,458000,3,7229,0,0,3,1920,,"2,5",2,1920
348,448000,3,9920,0,0,3,1230,,"1,8",1,1890
349,571000,4,13515,0,0,4,2150,,"1,8",1,2250
350,398000,2,3008,0,0,4,650,,1,1,1270
351,321000,2,1808,0,0,3,960,,"1,5",2,960
352,804000,4,6465,0,0,3,3290,,"2,5",2,3290
353,457000,4,6120,0,0,3,1100,,"1,8",1,2000
354,342000,2,8155,0,0,4,1020,,1,1,1020
355,425000,4,9600,0,0,3,1220,,"1,8",1,1840
356,525000,3,6760,0,0,4,1980,,"1,8",1,1980
357,1132000,6,5760,0,0,4,3510,,3,"2,5",3510
358,499000,2,3600,0,0,5,1230,0,"1,8","1,5",1230
359,446000,4,65836,0,0,3,2280,,"2,5",2,2280
360,787000,3,12757,0,2,4,1340,,"1,8",1,2430
361,658000,3,3942,0,0,3,2920,,"2,5",3,2920
362,636000,4,2850,0,0,4,1540,740,"2,8","1,5",2280
363,376000,3,43560,0,0,3,1510,,2,1,1510
364,300000,3,6000,0,0,3,790,,"1,8",1,950
365,359000,3,3000,0,0,3,1190,,"2,5",2,1190
366,376000,3,9282,0,0,4,1310,,"1,8",1,1310
367,848000,5,3200,0,0,5,1910,890,"3,3","1,5",2800
368,506000,3,3354,0,0,4,1750,,"2,5",2,1750
369,483000,3,5750,0,0,5,1320,0,"1,8","1,5",1320
370,545000,4,7350,0,0,3,2460,,"2,5",2,2460
371,360000,3,10800,0,0,3,1240,,2,1,1240
372,356000,3,7964,0,0,4,1260,,"1,5",1,1260
373,915000,6,15600,0,2,5,1970,850,"2,3","1,5",2820
374,1231000,4,24166,0,1,4,3310,,"3,3",2,3820
375,452000,3,1614,0,0,3,1470,,"2,5",3,1540
376,507000,2,435600,0,0,2,1550,,2,"1,5",1550
377,377000,3,7700,0,0,3,1460,,"1,8",1,1460
378,321000,3,16000,0,0,4,1390,,1,1,1390
379,675000,3,4080,0,0,3,1840,,"3,3",2,2640
380,388000,3,9620,0,0,3,1590,,"1,8",1,1590
381,608000,4,6960,0,0,5,1910,,2,"1,5",1910
382,1217000,3,16807,1,4,3,2015,,"2,8",2,2015
383,422000,3,1197,0,0,3,1410,,"1,8",3,1410
384,346000,2,957,0,0,3,930,,"1,5",2,1110
385,299000,2,1277,0,0,3,860,,"1,3",2,860
386,555000,3,4729,0,0,3,2310,,"2,5",2,2310
387,415000,2,1060,0,0,3,1020,,"1,5",3,1020
388,329000,2,1179,0,0,3,980,,1,2,980
389,1050000,4,37769,0,0,3,4230,,"2,3",2,4230
390,463000,3,11050,0,0,4,1640,,"2,3",1,1640
391,1019000,4,13592,0,1,3,2560,,"3,5",1,3810
392,622000,4,10819,0,0,3,2790,,"2,8",2,2790
393,500000,4,5500,0,0,5,1050,700,"1,8","1,5",1750
394,377000,4,8355,0,0,4,1430,,1,"1,5",1430
395,447000,3,4597,0,0,3,1850,,"2,5",2,1850
396,254000,2,28717,0,0,4,960,,1,1,960
397,563000,3,45302,0,0,4,1620,,3,1,2480
398,976000,4,11025,0,0,3,3750,,3,2,3750
399,572000,4,11951,0,0,3,2600,,"2,5",2,2600
400,627000,3,8700,0,3,4,840,,"1,8",1,1390
401,509000,4,7753,0,0,3,2260,,"2,5",2,2260
402,545000,4,7447,0,0,3,2470,,"2,3",2,2470
403,250000,2,7980,0,0,1,810,,1,1,810
404,432000,4,6000,0,0,5,1000,,2,1,1650
405,1618000,3,11665,1,4,3,3000,0,"2,3","1,5",3000
406,262000,2,18000,0,0,3,720,,1,1,720
407,324000,3,48257,0,0,3,1390,,"1,5",1,1390
408,404000,3,1606,0,0,3,1300,,"2,3",2,1445
409,489000,2,3300,0,0,4,1130,,1,"1,5",1840
410,668000,3,5824,0,2,3,2100,,"2,5",2,2100
411,311000,3,10464,0,0,4,1060,,"1,5",1,1060
412,488000,3,6337,0,0,5,1500,,"1,5",1,1500
413,499000,4,7213,0,0,3,1170,,"2,8",1,1970
414,463000,3,1253,0,0,3,1410,,"3,3",3,1410
415,1330000,4,9450,0,4,5,1960,,"2,8",1,3720
416,477000,4,14439,0,0,4,1180,,2,1,2190
417,520000,3,8075,0,0,4,1510,,2,1,1920
418,311000,3,8320,0,0,4,1160,,1,1,1160
419,1880000,4,52889,0,0,4,4910,,"4,3",2,5860
420,577000,4,4000,0,0,5,1450,550,"1,8","1,5",2000
421,492000,4,5883,0,0,3,2163,,3,2,2163
422,734000,5,57499,0,0,4,2340,,3,1,3480
423,650000,4,6268,0,0,3,2840,,"2,5",2,2840
424,377000,2,4400,0,0,4,1150,,1,1,1150
425,762000,4,3773,0,0,3,2000,,"2,8",2,3100
426,403000,3,14850,0,0,4,1020,,"2,5",1,1420
427,535000,4,32496,0,0,3,2430,,"2,3",1,2430
428,465000,4,7452,0,0,3,1430,,"2,3",1,1930
429,466000,3,10140,0,0,4,1370,,"2,3",1,1660
430,418000,3,7293,0,0,4,1400,,2,1,1400
431,597000,4,4000,0,0,3,2660,,"2,5",2,2660
432,485000,4,13300,0,0,4,1200,,"2,5",1,2000
433,530000,4,8078,0,0,4,1380,,"2,3",1,2130
434,416000,3,1694,0,0,3,1352,,"2,3",3,1352
435,590000,3,11340,0,1,4,1300,,"1,8",1,1750
436,498000,5,8100,0,0,4,1160,,"1,8",1,2320
437,283000,2,81892,0,0,3,1180,,1,1,1420
438,457000,4,3784,0,0,3,1940,,"2,5",2,1940
439,399000,3,4800,0,0,3,1410,,2,1,1410
440,345000,3,9948,0,0,3,1360,,1,1,1360
441,350000,3,7250,0,0,3,1220,,"1,8",1,1220
442,645000,4,20345,0,0,3,1980,,"2,5",2,2830
443,980000,4,10308,0,0,3,3780,,"2,8",2,3780
444,613000,4,14289,0,0,4,2330,,"2,5",2,2330
445,754000,3,107290,0,0,3,3560,,"2,5",2,3560
446,319000,4,70800,0,0,3,1470,,"1,5",1,1470
447,632000,4,48787,0,0,3,3060,,"2,3",2,3060
448,334000,3,6127,0,0,3,880,,1,1,1030
449,523000,4,9653,0,0,4,1930,,"2,5",1,1930
450,405000,3,120661,0,0,4,1780,,"1,8",1,1780
451,557000,3,9202,0,0,4,2000,,"2,5",2,2000
452,465000,3,9583,0,0,4,1690,,2,1,1690
453,1441000,5,23716,0,2,3,3390,,"4,5",2,5190
454,317000,3,5413,0,0,3,1300,0,"1,8","1,5",1300
455,653000,4,29252,0,0,4,2400,,"3,3",2,2400
456,338000,2,6634,0,0,3,860,,2,1,1150
457,516000,4,7490,0,0,3,2310,,"2,3",2,2310
458,675000,4,3047,0,0,3,2400,,"3,5",2,2730
459,654000,4,4500,0,0,3,2840,,"2,5",2,2840
460,333000,2,1525,0,0,3,1020,,"1,5",2,1020
461,406000,3,1384,0,0,3,1340,,2,3,1340
462,831000,4,159430,0,0,3,3540,,"3,3",2,3540
463,2071000,5,130017,0,0,3,6420,,"6,5",2,7270
464,337000,3,904,0,0,3,798,,"2,3",2,998
465,726000,5,7015,0,0,5,1600,,"2,8",1,3060
466,510000,3,6969,0,0,3,2130,,"2,5",2,2130
467,547000,4,6000,0,0,3,1400,,2,1,2520
468,418000,4,9533,0,0,3,1080,,1,1,1940
469,422000,3,1250,0,0,3,1270,,"2,5",3,1350
470,616000,4,5298,0,0,4,2160,0,"2,5","2,5",2160
471,401000,3,1350,0,0,3,1010,,"2,5",2,1370
472,1249000,4,101930,0,0,3,3890,,"4,5",1,5420
473,650000,4,5000,0,0,3,2830,,"2,5",2,2830
