id;price;bedrooms;bathrooms;sqft_living;sqft_lot;floors;waterfront;view;condition;sqft_above;sqft_basement,,
53;732000;3;2;2710;4500;1,5;0;0;4;1880;830,
54;409000;3;1,8;1800;23103;1;0;0;3;1800;0,
55;493000;5;2,5;2210;9655;1;0;0;3;1460;750,
56;418000;4;1,5;1920;10000;1;0;0;4;1070;850,
57;438000;4;1,8;2190;125452;1;0;2;3;2190;0,
58;1027000;5;3,3;3660;11995;2;0;2;3;3660;0,
59;425000;3;3,3;1320;1327;2;0;0;3;1040;280,
60;428000;2;2,5;1630;1368;2;0;0;3;1280;350,
61;811000;4;2,5;3310;6500;2;0;0;3;3310;0,
62;635000;3;2,5;2680;5539;2;0;0;3;2680;0,
63;557000;4;3,3;2730;54014;1;0;0;3;1560;1170,
64;603000;3;2,5;2540;5050;2;0;0;3;2540;0,
65;668000;4;2,8;2920;6605;2;0;0;3;2920;0,
66;317000;2;1;900;5000;1;0;0;3;900;0,,
67;452000;3;2,5;1650;14054;1;0;0;4;1130;520,
68;296000;3;1;1010;9945;1;0;0;4;1010;0,,
69;740000;2;2,5;2680;7392;1;0;0;3;2680;0,
70;660000;3;2,5;2200;7350;1;0;0;5;1570;630,
71;734000;4;2,5;2530;9933;2;0;2;3;2010;520,
72;690000;3;2,5;2850;7130;2;0;0;3;1990;860,
73;513000;4;2;2280;6010;1;0;0;3;1140;1140,,
74;451000;3;2,5;1900;8744;2;0;0;3;1900;0,
75;286000;3;1;1330;77972;1;0;0;3;1330;0,,
76;394000;2;3;1270;1175;2;0;0;3;1110;160,,
77;635000;4;3;2170;4000;2;0;0;4;1610;560,,
78;802000;4;2,5;2730;10281;2;0;2;3;2730;0,
79;581000;4;2,5;2120;10202;1;0;0;4;1620;500,
80;594000;3;2,5;2490;4343;2;0;0;3;2490;0,
81;462000;4;2,3;1990;7712;1;0;0;3;1210;780,
82;955000;4;3;3690;9892;2;0;0;3;3690;0,,
83;596000;2;1;2540;7000;1;0;0;5;1320;1220,,
84;408000;3;2,3;1800;36704;1;0;0;4;1360;440,
85;584000;4;3;2340;7048;1;0;0;4;1340;1000,,
86;534000;2;1,8;2110;9519;1;0;0;2;2110;0,
87;384000;2;1;1140;5400;1;0;0;5;1140;0,,
88;412000;3;1,8;1480;2185;2,5;0;0;3;1480;0
89;416000;2;3;1410;1240;2;0;0;3;1140;270,,
90;370000;2;1;1200;8063;1;0;0;4;1200;0,,
91;950000;5;2,5;3180;13806;2;0;0;4;3180;0,
92;740000;3;1,5;2160;9000;1;0;2;4;1400;760,
93;983000;6;1,8;2920;5000;2,5;0;0;4;2780;140
94;660000;3;2;2350;5700;1,5;0;0;4;1810;540,
95;408000;3;1,8;1560;5520;1;0;0;4;780;780,
96;580000;5;2,8;2740;8426;1;0;0;4;1370;1370,
97;478000;3;2,5;1680;2000;3;0;0;3;1680;0,
98;619000;5;2,5;3090;12750;1;0;0;3;1750;1340,
99;426000;3;2,3;1410;1332;3;0;0;3;1410;0,
100;1514000;5;3,5;4010;8510;2;0;1;5;2850;1160,
101;950000;4;2,5;3180;21904;2;0;3;3;3180;0,
102;504000;3;2,3;2010;6000;1;0;0;3;1330;680,
103;364000;3;1,8;1330;7500;1;0;0;3;1330;0,
104;530000;4;2,5;2370;6500;2;0;0;3;2370;0,
105;437000;5;2;1840;9240;1;0;0;4;1540;300,,
106;672000;4;2,5;2910;6479;2;0;0;3;2910;0,
107;444000;4;1;2070;7519;1;0;0;3;1160;910,,
108;881000;4;2,5;4340;141570;2,5;0;0;3;4340;0
109;306000;2;1;840;5510;1;0;0;3;840;0,,
110;358000;4;1,5;1240;9600;1;0;0;3;1240;0,
111;360000;4;1;1390;4240;1;0;0;3;1050;340,,
112;519000;4;2,8;2310;5000;2;0;0;3;2310;0,
113;315000;3;2;1050;10072;1;0;0;3;1050;0,,
114;452000;5;1,8;2550;71874;1;0;0;5;1810;740,
115;471000;4;1,8;2010;3600;1,5;0;0;3;2010;0
116;317000;5;1;1120;9022;1,5;0;0;4;1120;0,
117;538000;3;2,5;2230;4000;2;0;0;3;2230;0,
118;310000;2;1;810;7158;1;0;0;5;810;0,,
119;846000;5;2,8;3190;16920;1;0;3;3;1690;1500,
120;337000;3;1,8;1670;39639;1;0;0;4;1670;0,
121;483000;4;1,8;1970;9389;1;0;0;5;1140;830,
122;375000;3;1;1450;6000;1;0;0;4;1450;0,,
123;2749000;7;8;13540;307752;3;0;4;3;9410;4130,,
124;447000;3;2,5;1880;7838;2;0;0;3;1880;0,
125;448000;3;1,8;1880;6360;1;0;0;4;1040;840,
126;439000;3;2;1410;6030;1,5;0;0;4;1410;0,
127;490000;4;2;1480;3844;1,5;0;0;5;1480;0,
128;371000;2;1;1140;5250;1,5;0;0;4;1140;0,
129;435000;3;1,8;1920;9306;1;0;0;3;1000;920,
130;672000;4;2,5;2910;6338;2;0;0;3;2910;0,
131;768000;3;2,5;3240;7857;2;0;0;3;3240;0,
132;411000;3;2;1550;15040;1;0;0;4;1550;0,,
133;455000;5;2;2050;10200;1;0;0;3;1430;620,,
134;585000;2;2,5;2220;4000;2;0;0;3;2220;0,
135;433000;2;1;1770;8640;1,5;0;0;3;1520;250,
136;586000;4;1,8;2300;11700;1;0;0;4;1960;340,
137;466000;3;2;1800;5000;1;0;0;4;1080;720,,
138;455000;4;1,8;2010;9211;1;0;0;3;1470;540,
139;442000;3;2,5;1790;2700;2;0;0;3;1790;0,
140;543000;4;2,5;2440;6651;2;0;0;3;2440;0,
141;468000;3;2,5;1940;3211;2;0;0;3;1940;0,
142;357000;2;1,5;1160;1438;2;0;0;3;1160;0,
143;836000;4;2,5;3400;9692;2;0;0;3;3400;0,
144;1258000;4;4,3;4420;5750;2;0;0;3;3410;1010,
145;473000;3;3;1571;2017;3;0;0;3;1571;0,,
146;450000;3;2,3;1620;998;2,5;0;0;3;1540;80
147;432000;3;2,5;1408;989;3;0;0;3;1408;0,
148;720000;3;2,5;3040;4535;2;0;0;3;3040;0,
149;1205000;5;3,5;4490;6000;2;0;0;3;3200;1290,
150;436000;2;2,5;1590;1426;2;0;0;3;1590;0,
151;547000;4;2,5;2450;4247;2;0;0;3;2450;0,
152;399000;4;2;1440;7680;1;0;0;3;1200;240,,
153;315000;2;2;1100;3000;1,5;0;0;3;1100;0,
154;362000;3;1;1350;7740;1;0;0;4;860;490,,
155;443000;4;2,5;2150;37981;2;0;0;3;2150;0,
156;410000;3;1,8;1490;8366;1;0;0;4;1010;480,
157;467000;3;2;2000;7000;2;0;0;3;2000;0,,
158;347000;2;1;1030;4400;1;0;0;3;1030;0,,
159;286000;2;1;720;6687;1;0;0;3;720;0,,
160;549000;5;2;2020;5000;1,5;0;0;4;2020;0,
161;571000;3;1,8;1580;8151;1;0;1;4;1100;480,
162;476000;4;2,5;2110;13850;2;0;0;3;2110;0,
163;387000;4;2;1300;7054;1;0;0;3;1300;0,,
164;473000;3;1,5;1630;7475;1;0;1;3;1160;470,
165;984000;4;2,8;3370;8103;1;0;3;3;1970;1400,
166;473000;4;2,5;1890;6156;1;0;0;3;980;910,
167;402000;4;2;1520;7983;1;0;0;5;1520;0,,
168;316000;2;1;900;5160;1;0;0;3;900;0,,
169;320000;3;1;1050;6874;1;0;0;3;1050;0,,
170;379000;3;1,8;1260;6500;1;0;0;4;1260;0,
171;700000;6;3;3470;117612;1,5;0;0;3;3470;0,
172;605000;4;2,5;2290;12047;2;0;0;4;2290;0,
173;644000;4;2,3;2810;23400;1;0;1;3;1710;1100,
174;392000;3;2,5;1650;13816;2;0;0;3;1650;0,
175;434000;3;2,3;1640;14374;1;0;0;4;1140;500,
176;436000;3;2,5;1850;10109;2;0;0;3;1850;0,
177;466000;4;2,5;2000;5390;2;0;0;3;2000;0,
178;346000;3;1,5;1410;9647;1;0;0;3;1410;0,
179;368000;4;1,8;1500;11600;1;0;0;4;1000;500,
180;633000;3;2,5;2460;54885;2;0;0;4;2460;0,
181;320000;3;1;1010;7034;1;0;0;3;1010;0,,
182;356000;2;2,3;1230;929;2;0;0;3;1020;210,
183;526000;4;2,5;2331;3826;2;0;0;3;2331;0,
184;500000;5;2,5;2240;7770;1;0;0;3;1340;900,
185;684000;4;3;2450;10117;1;0;0;5;1580;870,,
186;735000;4;3;3100;15480;2;0;0;3;2400;700,,
187;483000;4;2;2060;5000;1;0;0;3;1030;1030,,
188;453000;3;1,8;1850;7684;1;0;0;3;1320;530,
189;425000;4;1,8;1840;10720;1;0;0;3;960;880,
190;897000;4;2;3740;32417;2;0;0;3;3740;0,,
191;347000;3;1,5;1420;8580;1;0;0;3;1420;0,
192;389000;3;1;1510;6083;1;0;0;4;860;650,,
193;584000;3;1,8;2130;6500;1;0;2;3;1170;960,
194;955000;4;2,3;3490;6906;2;0;0;4;2280;1210,
195;430000;3;1,8;1630;11800;1;0;0;4;1630;0,
196;433000;3;2,5;1790;7167;2;0;0;3;1790;0,
197;465000;4;2,5;2000;5684;2;0;0;3;2000;0,
198;519000;4;2,3;2260;29930;2;0;0;4;1400;860,
199;709000;4;2,5;3030;7864;2;0;0;3;3030;0,
200;344000;3;1,5;1310;8160;1;0;0;3;1310;0,
201;997000;4;2,5;3880;14550;2;0;0;3;3880;0,
202;1145000;4;3,3;3760;10920;1,5;0;0;5;2400;1360
203;727000;5;2,3;3040;8111;2;0;0;3;3040;0,
204;658000;5;2,5;2910;9636;1;0;0;4;1690;1220,
205;643000;3;2,5;2970;11985;1;0;0;3;1770;1200,
206;399000;2;1,8;1660;6000;1;0;0;3;1160;500,
207;756000;4;2,5;3200;12369;2;0;0;3;3200;0,
208;814000;4;2;2680;18768;1;0;0;5;2680;0,,
209;372000;3;1;1230;9568;1;0;0;5;1230;0,,
210;553000;4;2,5;2740;45732;2;0;0;3;2740;0,
211;865000;4;3,5;3380;8330;2;0;0;3;3380;0,
212;323000;3;1;1110;6250;1;0;0;3;1110;0,,
213;482000;5;2,8;1800;3780;1,5;0;0;3;1400;400
214;461000;3;1,8;1900;5520;1;0;0;3;1280;620,
215;285000;2;1;930;36478;1;0;2;3;930;0,,
216;432000;3;1,8;1690;7735;1;0;0;4;1060;630,
217;342000;3;2;1420;4080;1,5;0;0;3;1420;0,
218;1320000;5;4;4510;15175;2;0;0;3;4510;0,,
219;564000;3;2,3;1980;8000;1;0;0;4;1560;420,
220;393000;2;1,8;1170;2400;1;0;0;4;740;430,
221;568000;3;2,5;2200;1970;2;0;0;3;1610;590,
222;289000;3;1,5;800;8850;1;0;0;4;800;0,
223;444000;3;2,5;1480;1171;3;0;0;3;1480;0,
224;633000;5;3,8;2890;5000;1;0;0;3;1310;1580,
225;608000;3;2,5;2690;4047;3;0;0;3;2690;0,
226;927000;4;3,3;3569;8327;2;0;0;3;3569;0,
227;394000;3;2;1270;1320;3;0;0;3;1270;0,,
228;1380000;5;5;4490;10279;2;0;0;3;3930;560,,
229;716000;4;2,5;3040;6425;2;0;0;3;3040;0,
230;385000;3;2,3;1170;1249;3;0;0;3;1170;0,
231;469000;5;2,3;2060;8632;1;0;0;3;1030;1030,
232;322000;3;1;990;6000;1;0;0;3;990;0,,
233;542000;4;2,5;2430;5203;2;0;0;3;2430;0,
234;1081000;4;4;4460;103382;2;0;0;3;4460;0,,
235;347000;3;1,8;1250;10122;1;0;0;3;1250;0,
236;476000;3;2,8;1540;6760;1;0;0;5;1210;330,
237;471000;3;2,5;1600;7000;2;0;0;4;1600;0,
238;319000;3;1;1110;8423;1;0;0;3;1110;0,,
239;445000;3;1,8;1840;10723;1;0;0;4;1220;620,
240;638000;3;2,8;2520;5401;1;0;0;4;1360;1160,
241;606000;3;2,5;2680;327135;2;0;0;3;2680;0,
242;960000;9;4,5;3830;6988;2,5;0;0;3;2450;1380
243;660000;4;2,8;2410;9549;1;0;0;4;1780;630,
244;456000;4;1,8;1720;10018;1;0;0;5;1720;0,
245;414000;3;1,8;2070;37904;1;0;0;4;1420;650,
246;473000;3;2;1760;9055;2;0;0;4;1760;0,,
247;446000;3;1,8;1680;10500;1;0;0;4;1680;0,
248;532000;2;2;1550;2400;1,5;0;0;4;1550;0,
249;1003000;3;3;4120;60392;2;0;2;3;3180;940,,
250;436000;4;3;1830;9548;2;0;0;3;1830;0,,
251;357000;3;1;1400;7410;1;0;0;3;1400;0,,
252;474000;3;1,8;1870;12381;1;0;0;4;1870;0,
253;2572000;7;4,5;6210;8856;2,5;0;2;5;4760;1450
254;385000;2;1,5;1040;3500;1,5;0;0;4;1040;0
255;625000;3;1,8;2720;149410;1,5;0;0;3;2720;0
256;315000;3;1;1010;9360;1;0;0;3;1010;0,,
257;564000;3;1,8;1580;9147;1;0;1;4;1210;370,
258;870000;4;2,8;2600;6050;2;0;0;5;1960;640,
259;455000;3;2,5;1920;9180;2;0;0;3;1920;0,
260;561000;3;2;2350;5080;1,5;0;0;3;1780;570,
261;272000;1;1;1100;4373;1;0;0;2;820;280,,
262;530000;4;2;2510;13695;1;0;0;4;1280;1230,,
263;775000;3;2,5;3240;108366;2;0;0;4;3240;0,
264;475000;3;2,5;2460;108900;1;0;0;4;1860;600,
265;351000;2;1;1010;3885;1,5;0;0;4;1010;0,
266;310000;2;1;820;2723;1;0;0;3;820;0,,
267;693000;5;2,5;2420;8560;1;0;2;3;1620;800,
268;426000;3;2,3;1770;8165;2;0;0;3;1770;0,
269;397000;2;2;1350;3900;1;0;0;3;1350;0,,
270;467000;3;1,8;1960;4788;1;0;0;4;1090;870,
271;947000;4;2,5;3305;16164;1,5;0;0;5;2245;1060
272;580000;2;2,3;2550;5663;1;0;0;3;1720;830,
273;739000;5;3,8;4130;226076;2;0;0;3;3170;960,
274;506000;4;1,5;2310;13300;1;0;0;3;1890;420,
275;424000;4;2;1650;5000;1;0;0;3;1650;0,,
276;614000;4;2,5;2650;4316;1,5;0;0;3;1520;1130
277;570000;4;2,3;1890;5940;1;0;1;3;1470;420,
278;582000;3;1,8;2190;8000;1;0;0;4;2190;0,
279;486000;3;2,5;2030;6500;2;0;0;3;2030;0,
280;574000;3;3;2270;5175;2;0;0;3;2130;140,,
281;444000;3;2;1610;4160;1;0;0;4;1010;600,,
282;300000;2;1;760;3001;1;0;0;3;760;0,,
283;322000;2;1;1640;17335;1;0;0;3;840;800,,
284;458000;3;2,3;1630;12295;2;0;0;4;1630;0,
285;1167000;6;2,5;3560;6480;2,5;0;0;4;3560;0
286;909000;3;3;2960;5500;2;0;2;3;2440;520,,
287;499000;3;2,5;1940;37565;1;0;0;4;1940;0,
288;396000;3;2;1410;7566;1;0;0;3;1410;0,,
289;283000;3;1;1040;16986;1;0;0;4;1040;0,,
290;312000;2;1;820;6400;1;0;0;4;820;0,,
291;278000;2;1;910;22000;1;0;0;3;910;0,,
292;986000;7;5,8;3700;7647;2;0;1;3;3700;0,
293;586000;4;2,5;2180;11200;1;0;0;4;2180;0,
294;408000;3;2,5;1600;4271;2;0;0;3;1600;0,
295;420000;3;1,8;1500;6180;1;0;0;4;1060;440,
296;368000;3;1;1340;4284;1;0;0;3;1080;260,,
297;459000;3;2;1860;13374;1;0;0;3;1860;0,,
298;937000;3;2;2540;7200;1,5;0;3;4;1600;940,
299;331000;2;1;1040;13100;1;0;0;5;1040;0,,
300;345000;3;1,5;1380;11130;1;0;0;3;1380;0,
301;401000;3;1,8;1640;10762;1;0;0;3;1130;510,
302;674000;5;1,8;3000;6000;1;0;0;5;1500;1500,
303;516000;4;2,8;2140;13000;1;0;0;3;1320;820,
304;443000;3;2;1760;6428;1;0;0;4;980;780,,
305;478000;3;2,3;1660;8307;1;0;0;4;1660;0,
306;426000;3;2,5;1830;13042;2;0;0;3;1830;0,
307;626000;4;2;2210;8556;1;0;1;4;1210;1000,,
308;342000;4;1;1490;6600;1;0;0;3;1490;0,,
309;380000;3;1,5;1260;1270;2;0;0;3;1040;220,
310;1240000;5;4,5;4270;8076;2;0;0;3;3400;870,
311;1070000;4;3,5;3900;8391;2;0;0;3;3900;0,
312;427000;2;2,5;1150;1027;3;0;0;3;1150;0,
313;574000;4;2,8;2656;21195;2;0;0;3;2656;0,
314;537000;5;2,8;2410;5003;1;0;0;3;1410;1000,
315;469000;3;2,3;1606;1452;3;0;0;3;1606;0,
316;378000;2;1;820;681;3;0;0;3;820;0,,
317;416000;2;1;1540;6872;1;0;0;4;820;720,,
318;503000;3;2,8;2090;8354;2;0;0;3;2090;0,
319;704000;5;2,5;3160;11470;1;0;0;4;1780;1380,
320;410000;4;1,8;1730;8320;1;0;0;3;1230;500,
321;396000;3;1;1670;4080;1;0;0;3;1170;500,,
322;569000;4;2,5;2550;4630;2;0;0;3;2550;0,
323;833000;5;3;3040;9601;1;0;0;5;1970;1070,,
324;386000;3;1;1250;4620;1,5;0;0;4;1150;100,
325;468000;4;2,5;2020;6236;2;0;0;3;2020;0,
326;793000;4;2,5;2660;5500;2;0;2;3;2660;0,
327;314000;2;1,5;980;5000;2;0;0;3;980;0,
328;547000;3;2,5;1960;8000;1;0;0;4;1290;670,
329;290000;2;1;720;5040;1;0;0;3;720;0,,
330;365000;2;2,5;1360;1349;2;0;0;3;1050;310,
331;505000;2;2;1870;4950;1;0;0;3;1870;0,,
332;464000;4;1,5;2130;8800;1;0;0;3;1100;1030,
333;433000;4;2,5;1810;6509;2;0;0;3;1810;0,
334;316000;2;1,8;2200;89298;1;0;0;3;1100;1100,
335;614000;3;2,5;1690;4500;1,5;0;1;4;1690;0
336;502000;3;2,5;1940;8547;1;0;0;3;1460;480,
337;521000;4;2,5;2320;6270;2;0;0;3;2320;0,
338;409000;4;1,8;2060;26036;1;0;0;4;1160;900,
339;949000;4;1;3410;5000;2;0;0;5;2190;1220,,
340;452000;4;2,3;2250;41688;2;0;0;3;2250;0,
341;402000;3;1,8;1390;7399;1;0;0;4;1390;0,
342;352000;2;1;1060;4960;1;0;0;3;1060;0,,
343;368000;3;1;1490;8995;1;0;0;4;1490;0,,
344;519000;4;1,8;2480;9195;1;0;0;3;1390;1090,
345;634000;5;2,3;2440;20828;1,5;0;0;4;2440;0
346;340000;3;1,5;2240;87625;1,5;0;0;2;1480;760
347;458000;3;2,5;1920;7229;2;0;0;3;1920;0,
348;448000;3;1,8;1890;9920;1;0;0;3;1230;660,
349;571000;4;1,8;2250;13515;1;0;0;4;2150;100,
350;398000;2;1;1270;3008;1;0;0;4;650;620,,
351;321000;2;1,5;960;1808;2;0;0;3;960;0,
352;804000;4;2,5;3290;6465;2;0;0;3;3290;0,
353;457000;4;1,8;2000;6120;1;0;0;3;1100;900,
354;342000;2;1;1020;8155;1;0;0;4;1020;0,,
355;425000;4;1,8;1840;9600;1;0;0;3;1220;620,
356;525000;3;1,8;1980;6760;1;0;0;4;1980;0,
357;1132000;6;3;3510;5760;2,5;0;0;4;3510;0,
358;499000;2;1,8;1230;3600;1,5;0;0;5;1230;0
359;446000;4;2,5;2280;65836;2;0;0;3;2280;0,
360;787000;3;1,8;2430;12757;1;0;2;4;1340;1090,
361;658000;3;2,5;2920;3942;3;0;0;3;2920;0,
362;636000;4;2,8;2280;2850;1,5;0;0;4;1540;740
363;376000;3;2;1510;43560;1;0;0;3;1510;0,,
364;300000;3;1,8;950;6000;1;0;0;3;790;160,
365;359000;3;2,5;1190;3000;2;0;0;3;1190;0,
366;376000;3;1,8;1310;9282;1;0;0;4;1310;0,
367;848000;5;3,3;2800;3200;1,5;0;0;5;1910;890
368;506000;3;2,5;1750;3354;2;0;0;4;1750;0,
369;483000;3;1,8;1320;5750;1,5;0;0;5;1320;0
370;545000;4;2,5;2460;7350;2;0;0;3;2460;0,
371;360000;3;2;1240;10800;1;0;0;3;1240;0,,
372;356000;3;1,5;1260;7964;1;0;0;4;1260;0,
373;915000;6;2,3;2820;15600;1,5;0;2;5;1970;850
374;1231000;4;3,3;3820;24166;2;0;1;4;3310;510,
375;452000;3;2,5;1540;1614;3;0;0;3;1470;70,
376;507000;2;2;1550;435600;1,5;0;0;2;1550;0,
377;377000;3;1,8;1460;7700;1;0;0;3;1460;0,
378;321000;3;1;1390;16000;1;0;0;4;1390;0,,
379;675000;3;3,3;2640;4080;2;0;0;3;1840;800,
380;388000;3;1,8;1590;9620;1;0;0;3;1590;0,
381;608000;4;2;1910;6960;1,5;0;0;5;1910;0,
382;1217000;3;2,8;2015;16807;2;1;4;3;2015;0,
383;422000;3;1,8;1410;1197;3;0;0;3;1410;0,
384;346000;2;1,5;1110;957;2;0;0;3;930;180,
385;299000;2;1,3;860;1277;2;0;0;3;860;0,
386;555000;3;2,5;2310;4729;2;0;0;3;2310;0,
387;415000;2;1,5;1020;1060;3;0;0;3;1020;0,
388;329000;2;1;980;1179;2;0;0;3;980;0,,
389;1050000;4;2,3;4230;37769;2;0;0;3;4230;0,
390;463000;3;2,3;1640;11050;1;0;0;4;1640;0,
391;1019000;4;3,5;3810;13592;1;0;1;3;2560;1250,
392;622000;4;2,8;2790;10819;2;0;0;3;2790;0,
393;500000;4;1,8;1750;5500;1,5;0;0;5;1050;700
394;377000;4;1;1430;8355;1,5;0;0;4;1430;0,
395;447000;3;2,5;1850;4597;2;0;0;3;1850;0,
396;254000;2;1;960;28717;1;0;0;4;960;0,,
397;563000;3;3;2480;45302;1;0;0;4;1620;860,,
398;976000;4;3;3750;11025;2;0;0;3;3750;0,,
399;572000;4;2,5;2600;11951;2;0;0;3;2600;0,
400;627000;3;1,8;1390;8700;1;0;3;4;840;550,
401;509000;4;2,5;2260;7753;2;0;0;3;2260;0,
402;545000;4;2,3;2470;7447;2;0;0;3;2470;0,
403;250000;2;1;810;7980;1;0;0;1;810;0,,
404;432000;4;2;1650;6000;1;0;0;5;1000;650,,
405;1618000;3;2,3;3000;11665;1,5;1;4;3;3000;0
406;262000;2;1;720;18000;1;0;0;3;720;0,,
407;324000;3;1,5;1390;48257;1;0;0;3;1390;0,
408;404000;3;2,3;1445;1606;2;0;0;3;1300;145,
409;489000;2;1;1840;3300;1,5;0;0;4;1130;710,
410;668000;3;2,5;2100;5824;2;0;2;3;2100;0,
411;311000;3;1,5;1060;10464;1;0;0;4;1060;0,
412;488000;3;1,5;1500;6337;1;0;0;5;1500;0,
413;499000;4;2,8;1970;7213;1;0;0;3;1170;800,
414;463000;3;3,3;1410;1253;3;0;0;3;1410;0,
415;1330000;4;2,8;3720;9450;1;0;4;5;1960;1760,
416;477000;4;2;2190;14439;1;0;0;4;1180;1010,,
417;520000;3;2;1920;8075;1;0;0;4;1510;410,,
418;311000;3;1;1160;8320;1;0;0;4;1160;0,,
419;1880000;4;4,3;5860;52889;2;0;0;4;4910;950,
420;577000;4;1,8;2000;4000;1,5;0;0;5;1450;550
421;492000;4;3;2163;5883;2;0;0;3;2163;0,,
422;734000;5;3;3480;57499;1;0;0;4;2340;1140,,
423;650000;4;2,5;2840;6268;2;0;0;3;2840;0,
424;377000;2;1;1150;4400;1;0;0;4;1150;0,,
425;762000;4;2,8;3100;3773;2;0;0;3;2000;1100,
426;403000;3;2,5;1420;14850;1;0;0;4;1020;400,
427;535000;4;2,3;2430;32496;1;0;0;3;2430;0,
428;465000;4;2,3;1930;7452;1;0;0;3;1430;500,
429;466000;3;2,3;1660;10140;1;0;0;4;1370;290,
430;418000;3;2;1400;7293;1;0;0;4;1400;0,,
431;597000;4;2,5;2660;4000;2;0;0;3;2660;0,
432;485000;4;2,5;2000;13300;1;0;0;4;1200;800,
433;530000;4;2,3;2130;8078;1;0;0;4;1380;750,
434;416000;3;2,3;1352;1694;3;0;0;3;1352;0,
435;590000;3;1,8;1750;11340;1;0;1;4;1300;450,
436;498000;5;1,8;2320;8100;1;0;0;4;1160;1160,
437;283000;2;1;1420;81892;1;0;0;3;1180;240,,
438;457000;4;2,5;1940;3784;2;0;0;3;1940;0,
439;399000;3;2;1410;4800;1;0;0;3;1410;0,,
440;345000;3;1;1360;9948;1;0;0;3;1360;0,,
441;350000;3;1,8;1220;7250;1;0;0;3;1220;0,
442;645000;4;2,5;2830;20345;2;0;0;3;1980;850,
443;980000;4;2,8;3780;10308;2;0;0;3;3780;0,
444;613000;4;2,5;2330;14289;2;0;0;4;2330;0,
445;754000;3;2,5;3560;107290;2;0;0;3;3560;0,
446;319000;4;1,5;1470;70800;1;0;0;3;1470;0,
447;632000;4;2,3;3060;48787;2;0;0;3;3060;0,
448;334000;3;1;1030;6127;1;0;0;3;880;150,,
449;523000;4;2,5;1930;9653;1;0;0;4;1930;0,
450;405000;3;1,8;1780;120661;1;0;0;4;1780;0,
